Individus,Cas SNIF,IICR,Taille,M,Echantillon,Omega,n_inf,M_inf,N0_inf
1,1,1,1x2,1,11,0.3,Valeur de n_inf de la répétition 1 du cas 1,Valeur de M_inf de la répétition 1 du cas 1,Valeur de N0_inf de la répétition 1 du cas 1
2,1,1,1x2,1,11,0.3,Valeur de la répétition 2 du cas 1,,
3,1,1,1x2,1,11,0.3,…,,
4,1,1,1x2,1,11,0.3,,,
5,1,1,1x2,1,11,0.3,,,
6,2,1,1x2,1,11,0.5,Valeur de la répétition 1 du cas 2,,
7,2,1,1x2,1,11,0.5,…,,
8,2,1,1x2,1,11,0.5,,,
9,2,1,1x2,1,11,0.5,,,
10,2,1,1x2,1,11,0.5,,,
11,3,1,1x2,1,11,1,,,
12,3,1,1x2,1,11,1,,,
13,3,1,1x2,1,11,1,,,
14,3,1,1x2,1,11,1,,,
15,3,1,1x2,1,11,1,,,
16,4,2,1x2,5,11,0.3,,,
17,4,2,1x2,5,11,0.3,,,
18,4,2,1x2,5,11,0.3,,,
19,4,2,1x2,5,11,0.3,,,
20,4,2,1x2,5,11,0.3,,,
21,5,2,1x2,5,11,0.5,,,
22,5,2,1x2,5,11,0.5,,,
23,5,2,1x2,5,11,0.5,,,
24,5,2,1x2,5,11,0.5,,,
25,5,2,1x2,5,11,0.5,,,
26,6,2,1x2,5,11,1,,,
27,6,2,1x2,5,11,1,,,
28,6,2,1x2,5,11,1,,,
29,6,2,1x2,5,11,1,,,
30,6,2,1x2,5,11,1,,,
31,7,3,1x2,10,11,0.3,,,
32,7,3,1x2,10,11,0.3,,,
33,7,3,1x2,10,11,0.3,,,
34,7,3,1x2,10,11,0.3,,,
35,7,3,1x2,10,11,0.3,,,
36,8,3,1x2,10,11,0.5,,,
37,8,3,1x2,10,11,0.5,,,
38,8,3,1x2,10,11,0.5,,,
39,8,3,1x2,10,11,0.5,,,
40,8,3,1x2,10,11,0.5,,,
41,9,3,1x2,10,11,1,,,
42,9,3,1x2,10,11,1,,,
43,9,3,1x2,10,11,1,,,
44,9,3,1x2,10,11,1,,,
45,9,3,1x2,10,11,1,,,
46,10,4,1x2,50,11,0.3,,,
47,10,4,1x2,50,11,0.3,,,
48,10,4,1x2,50,11,0.3,,,
49,10,4,1x2,50,11,0.3,,,
50,10,4,1x2,50,11,0.3,,,
51,11,4,1x2,50,11,0.5,,,
52,11,4,1x2,50,11,0.5,,,
53,11,4,1x2,50,11,0.5,,,
54,11,4,1x2,50,11,0.5,,,
55,11,4,1x2,50,11,0.5,,,
56,12,4,1x2,50,11,1,,,
57,12,4,1x2,50,11,1,,,
58,12,4,1x2,50,11,1,,,
59,12,4,1x2,50,11,1,,,
60,12,4,1x2,50,11,1,,,
61,13,5,1x2,100,11,0.3,,,
62,13,5,1x2,100,11,0.3,,,
63,13,5,1x2,100,11,0.3,,,
64,13,5,1x2,100,11,0.3,,,
65,13,5,1x2,100,11,0.3,,,
66,14,5,1x2,100,11,0.5,,,
67,14,5,1x2,100,11,0.5,,,
68,14,5,1x2,100,11,0.5,,,
69,14,5,1x2,100,11,0.5,,,
70,14,5,1x2,100,11,0.5,,,
71,15,5,1x2,100,11,1,,,
72,15,5,1x2,100,11,1,,,
73,15,5,1x2,100,11,1,,,
74,15,5,1x2,100,11,1,,,
75,15,5,1x2,100,11,1,,,
76,16,6,1x3,1,11,0.3,,,
77,16,6,1x3,1,11,0.3,,,
78,16,6,1x3,1,11,0.3,,,
79,16,6,1x3,1,11,0.3,,,
80,16,6,1x3,1,11,0.3,,,
81,17,6,1x3,1,11,0.5,,,
82,17,6,1x3,1,11,0.5,,,
83,17,6,1x3,1,11,0.5,,,
84,17,6,1x3,1,11,0.5,,,
85,17,6,1x3,1,11,0.5,,,
86,18,6,1x3,1,11,1,,,
87,18,6,1x3,1,11,1,,,
88,18,6,1x3,1,11,1,,,
89,18,6,1x3,1,11,1,,,
90,18,6,1x3,1,11,1,,,
91,19,7,1x3,1,12,0.3,,,
92,19,7,1x3,1,12,0.3,,,
93,19,7,1x3,1,12,0.3,,,
94,19,7,1x3,1,12,0.3,,,
95,19,7,1x3,1,12,0.3,,,
96,20,7,1x3,1,12,0.5,,,
97,20,7,1x3,1,12,0.5,,,
98,20,7,1x3,1,12,0.5,,,
99,20,7,1x3,1,12,0.5,,,
100,20,7,1x3,1,12,0.5,,,
101,21,7,1x3,1,12,1,,,
102,21,7,1x3,1,12,1,,,
103,21,7,1x3,1,12,1,,,
104,21,7,1x3,1,12,1,,,
105,21,7,1x3,1,12,1,,,
106,22,8,1x3,5,11,0.3,,,
107,22,8,1x3,5,11,0.3,,,
108,22,8,1x3,5,11,0.3,,,
109,22,8,1x3,5,11,0.3,,,
110,22,8,1x3,5,11,0.3,,,
111,23,8,1x3,5,11,0.5,,,
112,23,8,1x3,5,11,0.5,,,
113,23,8,1x3,5,11,0.5,,,
114,23,8,1x3,5,11,0.5,,,
115,23,8,1x3,5,11,0.5,,,
116,24,8,1x3,5,11,1,,,
117,24,8,1x3,5,11,1,,,
118,24,8,1x3,5,11,1,,,
119,24,8,1x3,5,11,1,,,
120,24,8,1x3,5,11,1,,,
121,25,9,1x3,5,12,0.3,,,
122,25,9,1x3,5,12,0.3,,,
123,25,9,1x3,5,12,0.3,,,
124,25,9,1x3,5,12,0.3,,,
125,25,9,1x3,5,12,0.3,,,
126,26,9,1x3,5,12,0.5,,,
127,26,9,1x3,5,12,0.5,,,
128,26,9,1x3,5,12,0.5,,,
129,26,9,1x3,5,12,0.5,,,
130,26,9,1x3,5,12,0.5,,,
131,27,9,1x3,5,12,1,,,
132,27,9,1x3,5,12,1,,,
133,27,9,1x3,5,12,1,,,
134,27,9,1x3,5,12,1,,,
135,27,9,1x3,5,12,1,,,
136,28,10,1x3,10,11,0.3,,,
137,28,10,1x3,10,11,0.3,,,
138,28,10,1x3,10,11,0.3,,,
139,28,10,1x3,10,11,0.3,,,
140,28,10,1x3,10,11,0.3,,,
141,29,10,1x3,10,11,0.5,,,
142,29,10,1x3,10,11,0.5,,,
143,29,10,1x3,10,11,0.5,,,
144,29,10,1x3,10,11,0.5,,,
145,29,10,1x3,10,11,0.5,,,
146,30,10,1x3,10,11,1,,,
147,30,10,1x3,10,11,1,,,
148,30,10,1x3,10,11,1,,,
149,30,10,1x3,10,11,1,,,
150,30,10,1x3,10,11,1,,,
151,31,11,1x3,10,12,0.3,,,
152,31,11,1x3,10,12,0.3,,,
153,31,11,1x3,10,12,0.3,,,
154,31,11,1x3,10,12,0.3,,,
155,31,11,1x3,10,12,0.3,,,
156,32,11,1x3,10,12,0.5,,,
157,32,11,1x3,10,12,0.5,,,
158,32,11,1x3,10,12,0.5,,,
159,32,11,1x3,10,12,0.5,,,
160,32,11,1x3,10,12,0.5,,,
161,33,11,1x3,10,12,1,,,
162,33,11,1x3,10,12,1,,,
163,33,11,1x3,10,12,1,,,
164,33,11,1x3,10,12,1,,,
165,33,11,1x3,10,12,1,,,
166,34,12,1x3,50,11,0.3,,,
167,34,12,1x3,50,11,0.3,,,
168,34,12,1x3,50,11,0.3,,,
169,34,12,1x3,50,11,0.3,,,
170,34,12,1x3,50,11,0.3,,,
171,35,12,1x3,50,11,0.5,,,
172,35,12,1x3,50,11,0.5,,,
173,35,12,1x3,50,11,0.5,,,
174,35,12,1x3,50,11,0.5,,,
175,35,12,1x3,50,11,0.5,,,
176,36,12,1x3,50,11,1,,,
177,36,12,1x3,50,11,1,,,
178,36,12,1x3,50,11,1,,,
179,36,12,1x3,50,11,1,,,
180,36,12,1x3,50,11,1,,,
181,37,13,1x3,50,12,0.3,,,
182,37,13,1x3,50,12,0.3,,,
183,37,13,1x3,50,12,0.3,,,
184,37,13,1x3,50,12,0.3,,,
185,37,13,1x3,50,12,0.3,,,
186,38,13,1x3,50,12,0.5,,,
187,38,13,1x3,50,12,0.5,,,
188,38,13,1x3,50,12,0.5,,,
189,38,13,1x3,50,12,0.5,,,
190,38,13,1x3,50,12,0.5,,,
191,39,13,1x3,50,12,1,,,
192,39,13,1x3,50,12,1,,,
193,39,13,1x3,50,12,1,,,
194,39,13,1x3,50,12,1,,,
195,39,13,1x3,50,12,1,,,
