Individus,Cas SNIF,IICR,Repetition,Taille,M,Echantillon,Omega,inf. n,inf. M,inf. N_ref
1,1,1,1,1x2,1,11,0.3,2,0.1,100.0
2,1,1,2,1x2,1,11,0.3,2,0.1,100.0
3,1,1,3,1x2,1,11,0.3,2,0.1,100.0
4,1,1,4,1x2,1,11,0.3,2,0.1,100.0
5,1,1,5,1x2,1,11,0.3,2,0.1,100.0
6,2,1,1,1x2,1,11,0.5,2,0.1,100.0
7,2,1,2,1x2,1,11,0.5,2,0.1,100.0
8,2,1,3,1x2,1,11,0.5,2,0.1,100.0
9,2,1,4,1x2,1,11,0.5,2,0.1,100.0
10,2,1,5,1x2,1,11,0.5,2,0.1,100.0
11,3,1,1,1x2,1,11,1.0,2,0.1,100.0
12,3,1,2,1x2,1,11,1.0,2,0.1,100.0
13,3,1,3,1x2,1,11,1.0,2,0.1,100.0
14,3,1,4,1x2,1,11,1.0,2,0.1,100.0
15,3,1,5,1x2,1,11,1.0,2,0.1,100.0
16,4,2,1,1x2,5,11,0.3,2,0.5,100.0
17,4,2,2,1x2,5,11,0.3,2,0.5,100.0
18,4,2,3,1x2,5,11,0.3,2,0.5,100.0
19,4,2,4,1x2,5,11,0.3,2,0.5,100.0
20,4,2,5,1x2,5,11,0.3,2,0.5,100.0
21,5,2,1,1x2,5,11,0.5,2,0.5,100.0
22,5,2,2,1x2,5,11,0.5,2,0.5,100.0
23,5,2,3,1x2,5,11,0.5,2,0.5,100.0
24,5,2,4,1x2,5,11,0.5,2,0.5,100.0
25,5,2,5,1x2,5,11,0.5,2,0.5,100.0
26,6,2,1,1x2,5,11,1.0,2,0.5,100.0
27,6,2,2,1x2,5,11,1.0,2,0.5,100.0
28,6,2,3,1x2,5,11,1.0,2,0.5,100.0
29,6,2,4,1x2,5,11,1.0,2,0.5,100.0
30,6,2,5,1x2,5,11,1.0,2,0.5,100.0
31,7,3,1,1x2,10,11,0.3,2,1.0,100.0
32,7,3,2,1x2,10,11,0.3,2,1.0,100.0
33,7,3,3,1x2,10,11,0.3,2,1.0,100.0
34,7,3,4,1x2,10,11,0.3,2,1.0,100.0
35,7,3,5,1x2,10,11,0.3,2,1.0,100.0
36,8,3,1,1x2,10,11,0.5,2,1.0,100.0
37,8,3,2,1x2,10,11,0.5,2,1.0,100.0
38,8,3,3,1x2,10,11,0.5,2,1.0,100.0
39,8,3,4,1x2,10,11,0.5,2,1.0,100.0
40,8,3,5,1x2,10,11,0.5,2,1.0,100.0
41,9,3,1,1x2,10,11,1.0,2,1.0,100.0
42,9,3,2,1x2,10,11,1.0,2,1.0,100.0
43,9,3,3,1x2,10,11,1.0,2,1.0,100.0
44,9,3,4,1x2,10,11,1.0,2,1.0,100.0
45,9,3,5,1x2,10,11,1.0,2,1.0,100.0
46,10,4,1,1x2,50,11,0.3,2,5.0,100.0
47,10,4,2,1x2,50,11,0.3,2,5.0,100.0
48,10,4,3,1x2,50,11,0.3,2,5.0,100.0
49,10,4,4,1x2,50,11,0.3,2,5.0,100.0
50,10,4,5,1x2,50,11,0.3,2,5.0,100.0
51,11,4,1,1x2,50,11,0.5,2,5.0,100.0
52,11,4,2,1x2,50,11,0.5,2,5.0,100.0
53,11,4,3,1x2,50,11,0.5,2,5.0,100.0
54,11,4,4,1x2,50,11,0.5,2,5.0,100.0
55,11,4,5,1x2,50,11,0.5,2,5.0,100.0
56,12,4,1,1x2,50,11,1.0,2,5.0,100.0
57,12,4,2,1x2,50,11,1.0,2,5.0,100.0
58,12,4,3,1x2,50,11,1.0,2,5.0,100.0
59,12,4,4,1x2,50,11,1.0,2,5.0,100.0
60,12,4,5,1x2,50,11,1.0,2,5.0,100.0
61,13,5,1,1x2,100,11,0.3,2,10.0,100.0
62,13,5,2,1x2,100,11,0.3,2,10.0,100.0
63,13,5,3,1x2,100,11,0.3,2,10.0,100.0
64,13,5,4,1x2,100,11,0.3,2,9.99999,100.0
65,13,5,5,1x2,100,11,0.3,2,10.0,100.0
66,14,5,1,1x2,100,11,0.5,2,10.0,100.0
67,14,5,2,1x2,100,11,0.5,2,10.0,100.0
68,14,5,3,1x2,100,11,0.5,2,10.0,100.0
69,14,5,4,1x2,100,11,0.5,2,10.0,100.0
70,14,5,5,1x2,100,11,0.5,2,10.0,100.0
71,15,5,1,1x2,100,11,1.0,2,10.0,100.0
72,15,5,2,1x2,100,11,1.0,2,10.0,100.0
73,15,5,3,1x2,100,11,1.0,2,10.0,100.0
74,15,5,4,1x2,100,11,1.0,2,10.0,100.0
75,15,5,5,1x2,100,11,1.0,2,10.0,100.0
76,16,6,1,1x3,1,11,0.3,3,0.0727566,138.562
77,16,6,2,1x3,1,11,0.3,3,0.0727285,138.483
78,16,6,3,1x3,1,11,0.3,3,0.0728524,138.526
79,16,6,4,1x3,1,11,0.3,3,0.072953,138.707
80,16,6,5,1x3,1,11,0.3,3,0.0728254,138.481
81,17,6,1,1x3,1,11,0.5,3,0.0658364,115.594
82,17,6,2,1x3,1,11,0.5,3,0.0658779,115.662
83,17,6,3,1x3,1,11,0.5,3,0.0659026,115.703
84,17,6,4,1x3,1,11,0.5,3,0.0658775,115.661
85,17,6,5,1x3,1,11,0.5,3,0.06584,115.6
86,18,6,1,1x3,1,11,1.0,2,0.0500172,99.9997
87,18,6,2,1x3,1,11,1.0,2,0.0500172,99.9997
88,18,6,3,1x3,1,11,1.0,2,0.0500172,99.9997
89,18,6,4,1x3,1,11,1.0,2,0.0500172,99.9997
90,18,6,5,1x3,1,11,1.0,2,0.0500172,99.9997
91,19,7,1,1x3,1,12,0.3,4,0.165298,192.745
92,19,7,2,1x3,1,12,0.3,4,0.16649,193.883
93,19,7,3,1x3,1,12,0.3,4,0.165505,192.95
94,19,7,4,1x3,1,12,0.3,4,0.171867,199.185
95,19,7,5,1x3,1,12,0.3,4,0.170814,198.156
96,20,7,1,1x3,1,12,0.5,4,0.10012,110.647
97,20,7,2,1x3,1,12,0.5,4,0.0998824,110.41
98,20,7,3,1x3,1,12,0.5,4,0.0998208,110.348
99,20,7,4,1x3,1,12,0.5,4,0.100222,110.749
100,20,7,5,1x3,1,12,0.5,4,0.0997915,110.319
101,21,7,1,1x3,1,12,1.0,4,0.09869,100.037
102,21,7,2,1x3,1,12,1.0,4,0.0986895,100.038
103,21,7,3,1x3,1,12,1.0,4,0.0986894,100.038
104,21,7,4,1x3,1,12,1.0,4,0.0986896,100.038
105,21,7,5,1x3,1,12,1.0,4,0.0986968,100.036
106,22,8,1,1x3,5,11,0.3,2,0.129911,115.321
107,22,8,2,1x3,5,11,0.3,2,0.12998,115.374
108,22,8,3,1x3,5,11,0.3,2,0.130462,115.727
109,22,8,4,1x3,5,11,0.3,2,0.130216,115.554
110,22,8,5,1x3,5,11,0.3,2,0.130608,115.852
111,23,8,1,1x3,5,11,0.5,2,0.125723,109.756
112,23,8,2,1x3,5,11,0.5,2,0.125779,109.799
113,23,8,3,1x3,5,11,0.5,2,0.125744,109.772
114,23,8,4,1x3,5,11,0.5,2,0.125692,109.733
115,23,8,5,1x3,5,11,0.5,2,0.125738,109.768
116,24,8,1,1x3,5,11,1.0,3,0.234745,100.257
117,24,8,2,1x3,5,11,1.0,3,0.234786,100.253
118,24,8,3,1x3,5,11,1.0,3,0.234733,100.259
119,24,8,4,1x3,5,11,1.0,3,0.234718,100.261
120,24,8,5,1x3,5,11,1.0,3,0.23471,100.263
121,25,9,1,1x3,5,12,0.3,3,0.43497,146.416
122,25,9,2,1x3,5,12,0.3,3,0.435603,146.557
123,25,9,3,1x3,5,12,0.3,3,0.433397,146.091
124,25,9,4,1x3,5,12,0.3,3,0.434268,146.283
125,25,9,5,1x3,5,12,0.3,3,0.433901,146.191
126,26,9,1,1x3,5,12,0.5,3,0.38906,131.517
127,26,9,2,1x3,5,12,0.5,3,0.389654,131.65
128,26,9,3,1x3,5,12,0.5,3,0.389671,131.653
129,26,9,4,1x3,5,12,0.5,3,0.389747,131.67
130,26,9,5,1x3,5,12,0.5,3,0.391294,132.014
131,27,9,1,1x3,5,12,1.0,4,0.472785,100.441
132,27,9,2,1x3,5,12,1.0,4,0.472774,100.445
133,27,9,3,1x3,5,12,1.0,4,0.472792,100.439
134,27,9,4,1x3,5,12,1.0,4,0.472791,100.439
135,27,9,5,1x3,5,12,1.0,4,0.472789,100.44
136,28,10,1,1x3,10,11,0.3,3,0.440929,92.534
137,28,10,2,1x3,10,11,0.3,3,0.441816,92.65
138,28,10,3,1x3,10,11,0.3,3,0.441558,92.6162
139,28,10,4,1x3,10,11,0.3,3,0.441134,92.5609
140,28,10,5,1x3,10,11,0.3,3,0.437902,92.1367
141,29,10,1,1x3,10,11,0.5,3,0.46036,94.4258
